,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,SCRAMBLING_%,GIR_%,SG_TEE,SG_APPROACH,SG_SCRAMBLE,SG_PUTTING,SG_TOTAL,POINTS,TOP 10,1ST,MONEY,Year
13,Scott Verplank,88,70.03699999999999,281.1,71.4,59.32,67.0,0.22899999999999998,0.621,0.006,0.031,0.887,1245,6,0,2092114,2009
14,Sergio Garcia,59,70.056,298.5,59.61,57.94,65.61,0.46,0.65,-0.282,-0.065,0.763,1379,3,0,1212522,2009
15,John Senden,100,70.057,294.2,64.83,56.87,70.89,0.44299999999999995,0.606,-0.027999999999999997,0.038,1.06,560,7,0,2305492,2009
16,Robert Allenby,71,70.067,293.1,66.94,60.45,68.1,0.493,1.015,0.11,-0.631,0.987,1326,3,0,1890946,2009
17,Nick Watney,86,70.071,305.3,57.81,58.67,66.09,0.732,0.345,-0.201,0.237,1.113,748,4,1,3221421,2009
18,Justin Leonard,95,70.094,283.5,68.81,59.81,67.03,0.008,0.547,0.31,0.087,0.951,1371,6,0,2232378,2009
19,Ian Poulter,59,70.101,282.8,65.18,65.14,61.01,0.222,0.24,0.65,0.094,1.206,1532,5,0,2431001,2009
20,Matt Kuchar,82,70.112,283.2,65.99,65.91,64.23,0.12,0.052000000000000005,0.289,0.698,1.158,1364,5,1,2489193,2009
21,Jerry Kelly,90,70.119,284.7,64.8,61.3,64.63,0.062,0.165,0.226,0.327,0.78,570,6,1,2562648,2009
22,Kevin Na,91,70.128,282.7,63.41,64.82,64.24,-0.141,0.273,0.33,0.47700000000000004,0.938,545,9,0,2724825,2009
23,Jason Day,61,70.132,295.3,60.22,61.9,64.78,0.32299999999999995,0.031,0.016,0.5,0.871,1213,2,0,1251219,2009
24,Ãngel Cabrera,55,70.175,304.1,51.46,57.38,62.35,0.37200000000000005,0.295,-0.29600000000000004,0.172,0.544,558,3,1,2625472,2009
25,Bryce Molder,69,70.208,283.1,66.0,61.77,67.12,-0.321,-0.005,0.11199999999999999,0.747,0.5329999999999999,894,3,0,1381211,2009
26,Ernie Els,70,70.212,291.2,64.87,60.05,66.08,0.397,0.722,0.196,-0.39399999999999996,0.9209999999999999,690,7,0,2147157,2009
27,Phil Mickelson,66,70.218,300.1,52.21,57.53,64.29,0.312,0.268,0.38299999999999995,-0.146,0.816,2920,7,3,5332755,2009
28,George McNeill,82,70.22800000000001,292.0,60.5,62.14,63.68,-0.02,0.203,0.11199999999999999,0.408,0.7020000000000001,480,3,0,1439220,2009
29,Mike Weir,85,70.22800000000001,279.3,63.26,63.15,63.03,-0.276,0.22899999999999998,0.358,0.469,0.78,468,6,0,2379422,2009
30,Padraig Harrington,66,70.229,285.8,55.12,63.66,61.2,-0.315,0.47100000000000003,0.5770000000000001,0.47700000000000004,1.21,2050,6,0,2628377,2009
31,Stephen Ames,77,70.248,287.4,65.23,55.96,67.7,0.214,0.23600000000000002,-0.132,0.436,0.754,1102,5,1,2131538,2009
32,Camilo Villegas,76,70.29,293.0,61.31,56.85,66.67,0.42700000000000005,0.474,0.128,-0.203,0.825,1336,4,0,1804981,2009
33,Jason Dufner,90,70.307,286.2,67.28,60.74,66.93,0.32299999999999995,0.313,0.016,-0.027999999999999997,0.624,855,6,0,2190792,2009
34,Mark Wilson,99,70.313,284.3,69.09,62.83,66.49,0.147,-0.174,0.19399999999999998,0.386,0.552,1438,3,1,1838414,2009
35,Geoff Ogilvy,78,70.316,291.5,58.4,59.83,64.27,0.258,-0.02,0.32899999999999996,0.493,1.06,713,5,2,3866270,2009
36,Bo Van Pelt,100,70.357,292.5,65.62,60.44,66.73,0.387,0.08199999999999999,-0.042,0.275,0.701,1195,5,1,1945307,2009
